fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220926 051350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	102191	0.0339455157780658	0.956205114516989	2188	679	8196	26010000	63
20220926 051732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	606	TRUE	102191	0.0304443013118092	0.343952161126665	5080	716	9038	27290000	64
20220926 051818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	102191	0.0728698210369157	0.304404483189665	3050	141	8327	26390000	65
20220926 052431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1098	TRUE	102191	0.0126292352718368	0.945676722697017	5319	192	10123	26720000	66
20220926 052741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	449	TRUE	102191	0.0314758879120561	0.451566727389924	2565	748	9000	27280000	67
20220926 053105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	598	TRUE	102191	0.0176448679402718	0.282249550930776	4594	752	9203	26800000	68
20220926 053159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	98	TRUE	102191	0.10047110987545	0.459632266738711	4150	712	8936	26690000	69
20220926 054723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2933	TRUE	102191	0.00542185926177219	0.718815290963207	4878	143	11688	26150000	70
20220926 060810	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3412	TRUE	102191	0.00503102799582488	0.335295007959755	2036	752	8738	27090000	71
20220926 061823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1685	TRUE	102191	0.00504366054086421	0.658187650772394	6429	269	5468	24190000	72
20220926 061912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	102191	0.0737154393641983	0.228082180102626	1351	1024	7941	26520000	73
20220926 062116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	102191	0.0293987555751567	0.638805600864114	2265	694	5001	2.4e+07	74
20220926 062818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1115	TRUE	102191	0.0100122411094614	0.429302309417334	5350	713	9253	26140000	75
20220926 062930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	215	TRUE	102191	0.131161651138582	0.928204143465497	6181	896	7027	25550000	76
20220926 063301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	424	TRUE	102191	0.0206663628009744	0.620118435107433	2412	1024	7703	26360000	77
20220926 063606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	425	TRUE	102191	0.0206745750486176	0.489660955779813	7360	459	10910	25460000	78
20220926 063641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	102191	0.190307412575709	0.559418939482793	6446	543	14370	23500000	79
20220926 064345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	931	TRUE	102191	0.00503078741627956	0.917010333690037	7989	274	10211	25500000	80
20220926 065548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2068	TRUE	102191	0.00548444706291742	0.780815280849405	5059	504	10163	26480000	81
20220926 070003	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	517	TRUE	102191	0.0182070945616699	0.613538820044883	2311	564	10200	26800000	82
20220926 070225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	175	TRUE	102191	0.0291562761791739	0.438205235452738	1117	447	8989	26830000	83
20220926 070518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	398	TRUE	102191	0.0309774699137317	0.593224492757717	4170	575	8869	26670000	84
20220926 070755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	481	TRUE	102191	0.0293117587968112	0.22709357138767	4765	719	9949	26430000	85
20220926 071003	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	102191	0.0481268633158312	0.476045206935244	2426	653	10822	26280000	86
20220926 071230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	102191	0.0327546216938258	0.569445702710407	5029	776	8719	27050000	87
20220926 071344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	102191	0.0782003854719293	0.332067580340776	2288	698	9617	26930000	88
20220926 072426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1668	TRUE	102191	0.00587033666386401	0.358851676593125	3794	492	9047	26710000	89
20220926 073840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1062	TRUE	102191	0.00815421236530372	0.629036437339397	788	920	9081	27360000	90
20220926 074120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	320	TRUE	102191	0.0304046775752081	0.63623011644194	2259	752	9048	26870000	91
20220926 074730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	102191	0.0229843458553148	0.608353541137	342	768	8845	26870000	92
