fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 052413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	102191	0.0150918218344109	0.379357708971191	500	115	10003	27120000	102
20221001 052528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	102191	0.0124124961201632	0.795002690936043	808	39	9392	26820000	103
20221001 052610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	102191	0.0500681627297715	0.703405753492855	501	168	9038	25690000	104
20221001 052751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	102191	0.0320487236074869	0.392524684311938	503	331	9386	26670000	105
20221001 052907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	102191	0.0378767749900433	0.93860788412951	724	1010	8616	26850000	106
20221001 053120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	102191	0.0199631154700334	0.393364875725517	512	229	9295	27170000	107
20221001 053922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	762	TRUE	102191	0.00500483057516721	0.38656939540174	537	207	10394	26740000	108
20221001 054020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	102191	0.0307879486976829	0.523549756539147	509	142	10282	25840000	109
20221001 054205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	249	TRUE	102191	0.0236182683689785	0.398533653972403	1119	559	11756	26410000	110
20221001 054702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	102191	0.0139386691706175	0.737868940460833	538	518	9871	26500000	111
20221001 054816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	181	TRUE	102191	0.0222465991250073	0.279974126816234	543	104	11989	25630000	112
20221001 054938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	102191	0.0326435499254536	0.660999375241392	882	1019	8851	26620000	113
20221001 055110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	218	TRUE	102191	0.0250631908012341	0.376768385373055	701	135	8747	26990000	114
20221001 055215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	102191	0.0388415255766768	0.401645158555231	655	380	7848	26630000	115
20221001 055257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	102191	0.0460280375088244	0.393577656659059	1015	91	9590	26420000	116
20221001 055430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	102191	0.0432922190375377	0.548801301958133	582	532	9157	26490000	117
20221001 055626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	301	TRUE	102191	0.0469037674180323	0.452744395381425	881	1017	6187	25550000	118
20221001 055717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	102191	0.0463493198557446	0.593783167784289	1467	523	14995	23370000	119
20221001 055752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	102191	0.0570039423405707	0.800134429264677	6891	1013	8577	26050000	120
